artist_name_raw,artist_name_norm,listeners,playcount,id_genre
Jon and Roy,jon and roy,133326,1230815,2
JUANITA BURBANO,juanita burbano,1127,8907,2
Kaleo,kaleo,1177981,20358143,2
Kakkmaddafakka,kakkmaddafakka,327653,5873018,2
Kamikazes,kamikazes,3968,125923,2
Keane,keane,3958010,115325597,2
Keanu Bicol,keanu bicol,129342,2466733,2
Kevin Walkman,kevin walkman,153339,2863716,2
Khruangbin,khruangbin,1030071,44633870,2
Kings of Leon,kings of leon,5052406,262767678,2
Leap,leap,87359,1390929,2
Leisure,leisure,504041,7150224,2
LP,lp,745718,14153831,2
La Maravillosa Orquesta del Alcohol,la maravillosa orquesta del alcohol,46448,1944270,2
Las Pastillas Del Abuelo,las pastillas del abuelo,71166,2029303,2
Las Eras,las eras,30750,161651,2
Leiva,leiva,87815,2398075,2
Lemot,lemot,2915,26976,2
Leonora Post Punk,leonora post punk,62004,412977,2
Limp Bizkit,limp bizkit,4022374,170354203,2
Linkin Park,linkin park,6782765,709444268,2
Loathe,loathe,811582,42890857,2
Local Natives,local natives,1413154,39055761,2
Los Auténticos Decadentes,los auténticos decadentes,256442,4850329,2
Los De Marras,los de marras,15194,457748,2
Los Diablitos,los diablitos,53774,654184,2
Los Fabulosos Cadillacs,los fabulosos cadillacs,530200,11346476,2
Los Retros,los retros,538771,10024888,2
Los Rodríguez,los rodríguez,128980,1320556,2
Los Suaves,los suaves,77479,1320228,2
Lovejoy,lovejoy,572163,49616910,2
Luis Alberto Spinetta,luis alberto spinetta,198320,7614518,2
Lynyrd Skynyrd,lynyrd skynyrd,3213188,62327592,2
MAN WITH A MISSION,man with a mission,272980,8430849,2
Mico,mico,214052,13382056,2
MISSIO,missio,482406,10287082,2
Mytch,mytch,7034,54133,2
Mabell De La Rosa,mabell de la rosa,230,728,2
Mala Hierba,mala hierba,1652,13786,2
Maná,maná,827883,19099268,2
MARCELO BEDOYA,marcelo bedoya,560,2500,2
Marcus King,marcus king,267239,2784501,2
Marea,marea,121896,5036073,2
Mareux,mareux,1087124,23081930,2
MARIA DE LOS ANGELES,maria de los angeles,1356,16144,2
Marilyn Manson,marilyn manson,3130654,194459527,2
Marlon,marlon,35762,555808,2
Marlon Funaki,marlon funaki,217698,2176385,2
Mati Sertic,mati sertic,126,516,2
Matt Maeson,matt maeson,617603,13521380,2
Maurizio Terracina,maurizio terracina,526,3422,2
Meltt,meltt,234746,2842591,2
Memphis May Fire,memphis may fire,527443,21272418,2
Men I Trust,men i trust,2096208,120228511,2
Metallica,metallica,5075199,522377807,2
Michael Jackson,michael jackson,6664111,334876838,2
Mike & The Mechanics,mike & the mechanics,459256,3623793,2
Mikel Erentxun,mikel erentxun,138780,1439525,2
Miley Cyrus,miley cyrus,4733345,291919680,2
Milky Chance,milky chance,1668814,38244515,2
Miranda!,miranda!,365026,18671024,2
MorMor,mormor,262186,2669676,2
Mother Mother,mother mother,1869483,100256810,2
Motionless in White,motionless in white,859678,56513938,2
Motörhead,motörhead,2118920,81240249,2
Mr.Kitty,mr.kitty,1054279,31337462,2
Muse,muse,6263453,559367459,2
Måneskin,måneskin,1803841,97693353,2
Mötley Crüe,mötley crüe,1901690,58161756,2
Nation of Language,nation of language,231349,4314328,2
Neeus,neeus,5566,95310,2
Nessa Barrett,nessa barrett,1052071,47236985,2
NewDad,newdad,442679,6901349,2
Nickelback,nickelback,4282521,148207699,2
Night Tapes,night tapes,397128,5665066,2
Nirvana,nirvana,7387096,562809325,2
No Resolve,no resolve,107546,1716425,2
No Te Va Gustar,no te va gustar,200931,6309714,2
Noan,noan,10110,109558,2
Noga Erez,noga erez,151527,2007920,2
Norman,norman,43167,328932,2
Novulent,novulent,589044,15018033,2
ONE OK ROCK,one ok rock,604234,52277233,2
Oasis,oasis,5766769,317835276,2
Of Monsters and Men,of monsters and men,2273784,72037986,2
Oliver Tree,oliver tree,1417081,42916281,2
Once Monsters,once monsters,45062,582139,2
Orchestral Manoeuvres in the Dark,orchestral manoeuvres in the dark,1131475,19635487,2
Other Lives,other lives,382473,6710280,2
Our Last Night,our last night,585002,22194272,2
Ozzy Osbourne,ozzy osbourne,3054057,92846608,2
PERSONA 749,persona 749,42274,281595,2
POORSTACY,poorstacy,324827,8950910,2
Pacifica,pacifica,75250,987414,2
Palaye Royale,palaye royale,497659,27824612,2
Panchiko,panchiko,1072032,73684154,2
Papa Roach,papa roach,3631870,125369179,2
Paramore,paramore,5480941,557448151,2
Paula Koops,paula koops,15686,410639,2
Peach Pit,peach pit,1019238,43938307,2
Pearl Jam,pearl jam,4277083,247633415,2
Periferia,periferia,3648,87291,2
Phoebe Bridgers,phoebe bridgers,2085226,278514581,2
Pierce the Veil,pierce the veil,1991256,245816744,2
Piti Fernández,piti fernández,7589,96853,2
Pixies,pixies,4193033,211052872,2
Placebo,placebo,3387763,269864356,2
Playa Cuberris,playa cuberris,2127,16496,2
Pol 3.14,pol 3.14,24649,272204,2
Pole.,pole.,26426,849814,2
Polyphia,polyphia,598953,32057861,2
Poncho K,poncho k,41062,687605,2
Portugal. The Man,portugal. the man,1976247,61049424,2
Precious Pepala,precious pepala,74740,762226,2
Psychedelic Porn Crumpets,psychedelic porn crumpets,391323,12500024,2
Pugface,pugface,987,3125,2
Quaker City Night Hawks,quaker city night hawks,63582,405381,2
Queen,queen,7098803,414699968,2
Queens of the Stone Age,queens of the stone age,3674550,249297672,2
R.E.M.,r.e.m.,4295151,153224227,2
REO Speedwagon,reo speedwagon,1233740,13914912,2
Radio Free Alice,radio free alice,98475,1192500,2
Radiohead,radiohead,8064930,1318326687,2
Rain City Drive,rain city drive,156255,6263772,2
Rata Blanca,rata blanca,190993,3706219,2
Ray Bull,ray bull,84723,999365,2
Red Hot Chili Peppers,red hot chili peppers,7118516,545139936,2
Reignwolf,reignwolf,278824,3518143,2
Rival Sons,rival sons,353936,8665544,2
Robe.,robe.,1244,18883,2
Rojuu,rojuu,140097,18493645,2
Royal Blood,royal blood,1048165,41787124,2
Royal Republic,royal republic,263130,9750876,2
Royel Otis,royel otis,927578,22291783,2
Rulo y la contrabanda,rulo y la contrabanda,18837,464590,2
Starset,starset,524576,26867647,2
Sabaton,sabaton,828851,91172960,2
Sable,sable,76838,684537,2
Saint Chaos,saint chaos,75851,1009524,2
Saint Motel,saint motel,1206820,26447886,2
schur,schur,61385,761151,2
Scorpions,scorpions,2774377,86222085,2
Sean Koch,sean koch,36396,363799,2
Self Deception,self deception,131351,3177014,2
Serú Girán,serú girán,203802,8515354,2
Sharon Van Etten,sharon van etten,1021366,30600502,2
Sheryl Crow,sheryl crow,1931974,27558131,2
Shinedown,shinedown,1747528,63734848,2
Sidecars,sidecars,34499,666557,2
Sigur Rós,sigur rós,2402302,151139707,2
Sinkope,sinkope,19989,354312,2
Sinnerella,sinnerella,157534,870746,2
Skillet,skillet,2160460,81079519,2
Sleep Token,sleep token,798133,144838159,2
Slipknot,slipknot,4122802,350046108,2
Slomosa,slomosa,56768,923982,2
Slowdive,slowdive,2130399,140270533,2
Solence,solence,179000,4167203,2
Somebody's Child,somebody's child,71132,809286,2
State Of Mine,state of mine,82649,1071406,2
Stellar,stellar,456077,10059946,2
Stereophonics,stereophonics,2141064,56607066,2
Steven Rodriguez,steven rodriguez,89478,1298923,2
Stick Figure,stick figure,291486,6184470,2
Still Corners,still corners,578061,11564025,2
Still Woozy,still woozy,1176876,43026685,2
Sublevados,sublevados,1776,19503,2
Sum 41,sum 41,3375660,153596179,2
Sun Room,sun room,163245,1811134,2
Sunflower Bean,sunflower bean,309043,3501821,2
Surf Curse,surf curse,1936897,43989895,2
Surf Hat,surf hat,56933,341119,2
Survive Said The Prophet,survive said the prophet,240427,6012247,2
The Driver Era,the driver era,481390,15581113,2
TK from 凛として時雨,tk from 凛として時雨,42313,2294620,2
Tool,tool,2560117,223245905,2
TTRRUUCES,ttrruuces,91594,774869,2
Talking Heads,talking heads,3184036,138424085,2
Tame Impala,tame impala,4103551,384284028,2
Tempesst,tempesst,140882,1368598,2
The 1975,the 1975,2575458,288953177,2
The Animals,the animals,2455529,27974006,2
The Backseat Lovers,the backseat lovers,1021897,39786626,2
The Beaches,the beaches,433162,9180650,2
The Beatles,the beatles,6384190,1068361552,2
The Beefs,the beefs,39485,214104,2
The Black Keys,the black keys,3263034,194192449,2
The Blue Stones,the blue stones,245324,4496405,2
The Garden,the garden,813986,53012956,2
Goo Goo Dolls,goo goo dolls,1843694,34853452,2
The Growlers,the growlers,821801,24646005,2
The Happy Fits,the happy fits,410597,13509935,2
The Heavy,the heavy,841125,14466907,2
The Hives,the hives,2079320,57080289,2
The Human League,the human league,1645921,18725031,2
The Killers,the killers,6809565,371935145,2
The Listros,the listros,39420,257705,2
The Lumineers,the lumineers,2526365,89120758,2
The Mystery Lights,the mystery lights,164651,1502149,2
The National,the national,2505818,219334281,2
The Neighbourhood,the neighbourhood,3817304,372087765,2
The Offspring,the offspring,4493679,209633152,2
The Raconteurs,the raconteurs,1782040,44427066,2
The Rare Occasions,the rare occasions,1123879,18460784,2
The Rolling Stones,the rolling stones,5734116,268384625,2
The Rose,the rose,452531,23978864,2
The Score,the score,598255,15564053,2
The Smile,the smile,460426,18559575,2
The Snuts,the snuts,188317,4366541,2
The Strokes,the strokes,5596146,463693022,2
The Surfaris,the surfaris,314615,1409898,2
The Voidz,the voidz,534860,18635400,2
The War on Drugs,the war on drugs,908910,37467114,2
The Warning,the warning,209119,10716805,2
Theophilus London,theophilus london,560781,7637450,2
30 Seconds to Mars,30 seconds to mars,2291696,124126712,2
Thorbjørn Risager & The Black Tornado,thorbjørn risager & the black tornado,12669,115006,2
Three Days Grace,three days grace,3785813,178090649,2
Thundercat,thundercat,1957182,73381958,2
Thundermother,thundermother,61604,817545,2
ThxSoMch,thxsomch,863811,21938784,2
Till Lindemann,till lindemann,107334,2888086,2
Tom Morello,tom morello,324814,2891414,2
Tom Petty,tom petty,1885132,31635314,2
Tomas Chris,tomas chris,17957,60253,2
Toño y su grupo centella,toño y su grupo centella,2323,20825,2
Trxy!,trxy!,266917,3342209,2
Turnstile,turnstile,857083,54964467,2
Twenty One Pilots,twenty one pilots,3206711,402789797,2
Twin Tribes,twin tribes,307080,6564808,2
Ultra Sunn,ultra sunn,190893,2214164,2
Unknown Mortal Orchestra,unknown mortal orchestra,1126216,34706759,2
VIOLENT VIRA,violent vira,571996,22516120,2
Voilà!,voilà!,716,8617,2
Valira,valira,3586,83477,2
Vampire Weekend,vampire weekend,3401218,177291285,2
Vestron Vulture,vestron vulture,382501,5431248,2
Vico y su grupo Karicia,vico y su grupo karicia,1843,28095,2
Volbeat,volbeat,970939,55637786,2
Vulkan,vulkan,43171,796013,2
Willow,willow,2233815,71422937,2
Wallows,wallows,2007826,122005426,2
Walls,walls,85142,2392441,2
"Walls, daniel sabater","walls, daniel sabater",932,5087,2
Wanda Jackson,wanda jackson,481553,4548090,2
Wet Leg,wet leg,831724,24456534,2
WildHeart,wildheart,7813,66969,2
Wilderado,wilderado,210304,2417178,2
Will Paquin,will paquin,621984,8801909,2
Wind Walkers,wind walkers,138142,4155995,2
X Ambassadors,x ambassadors,1105544,16754153,2
Xavi Castle,xavi castle,6532,12353,2
Xavibo,xavibo,24014,892077,2
Xdinary Heroes,xdinary heroes,286144,31256399,2
YUNGBLUD,yungblud,1135502,42367409,2
Young Gun Silver Fox,young gun silver fox,72620,998737,2
Yusuf / Cat Stevens,yusuf / cat stevens,973157,17140511,2
Yves Tumor,yves tumor,1021049,46632619,2
ZZ Top,zz top,2203586,46688920,2
akiaura,akiaura,527700,10005988,2
Almost Monday,almost monday,368844,5513661,2
alt-J,alt-j,2316757,117263369,2
bbno$,bbno$,1433512,63783591,2
beabadoobee,beabadoobee,2498988,298101715,2
blink-182,blink-182,4544718,301678377,2
Carwash,carwash,462120,6188092,2
coldrain,coldrain,222621,10044873,2
d4vd,d4vd,2228745,110244159,2
Elijah,elijah,65115,1078032,2
Flipturn,flipturn,543373,13948622,2
FlyingFish,flyingfish,561161,8895803,2
GLWZBLL,glwzbll,198554,1871125,2
grandson,grandson,809524,23878109,2
Jaydes,jaydes,430516,79291639,2
Julie,julie,705135,29089317,2
jxdn,jxdn,353429,11570827,2
late night drive home,late night drive home,569517,11527504,2
llvna,llvna,4510,74850,2
mgk,mgk,971654,34601596,2
noturgf,noturgf,640164,7143021,2
Otuka,otuka,243635,13659120,2
quannnic,quannnic,469352,15279450,2
whatsaheart,whatsaheart,264114,20566465,2
