artist_name_raw,artist_name_norm,listeners,playcount,id_genre
Depeche Mode,depeche mode,4361562,289482125,1
Diego Torres,diego torres,269312,2603420,1
Doja Cat,doja cat,3493942,443054446,1
DRAGANOV,draganov,14024,536739,1
Drugdealer,drugdealer,617107,8081260,1
Dua Lipa,dua lipa,3172579,309574875,1
Duran Duran,duran duran,3078246,73038520,1
EKKSTACY,ekkstacy,891372,18331710,1
ELYELLA,elyella,21206,309670,1
ENHYPEN,enhypen,1066291,298745731,1
Ed Sheeran,ed sheeran,4110990,249098278,1
El Arrebato,el arrebato,63773,591920,1
El Barrio,el barrio,49941,1031789,1
El Duende Callejero,el duende callejero,4152,47005,1
Elton John,elton john,5123339,158638603,1
Emilia,emilia,485586,17673176,1
Enol,enol,14332,460007,1
Enrique Iglesias,enrique iglesias,2635196,52571642,1
Erika,erika,273393,3495929,1
Eslabon Armado,eslabon armado,728674,30330419,1
Estopa,estopa,305707,8734786,1
EUGENIO ESQUIVEL,eugenio esquivel,47171,495756,1
Eve St. Jones,eve st. jones,84633,672030,1
Eyedress,eyedress,2134477,72059123,1
Fifty Fifty,fifty fifty,1310133,34285149,1
FKJ,fkj,806028,14483340,1
Faouzia,faouzia,342083,8465873,1
Faye Webster,faye webster,1718579,127367170,1
Felix Jaehn,felix jaehn,808621,10661344,1
Fireboy DML,fireboy dml,361099,5468597,1
Fito Y Fitipaldis,fito y fitipaldis,122214,3552905,1
Flowtiago,flowtiago,5514,36819,1
Fondo Flamenco,fondo flamenco,61984,819291,1
Forest Blakk,forest blakk,240647,2602210,1
Fraderita,fraderita,1544,11718,1
Frou Frou,frou frou,2028300,36730970,1
Fuerza Regida,fuerza regida,517475,37064441,1
Fujii Kaze,fujii kaze,769484,27618510,1
Galantis,galantis,1540880,28341086,1
Galvan Real,galvan real,8218,122266,1
Gracie Abrams,gracie abrams,1738257,272903821,1
Greeicy,greeicy,120979,1983196,1
HWASA,hwasa,404822,5812319,1
Ha*Ash,ha*ash,155109,3741009,1
Hadrian,hadrian,13112,161439,1
Harry Styles,harry styles,3110092,389296153,1
Hotel Ugly,hotel ugly,1821437,50384266,1
Hozier,hozier,3245793,269250370,1
ITZY,itzy,963458,131927194,1
IVE,ive,995787,147900334,1
Izal,izal,65325,3006735,1
Imagine Dragons,imagine dragons,3975552,245280593,1
Inazio,inazio,5505,77233,1
India Martinez,india martinez,53022,622194,1
Isaac Hale,isaac hale,11484,39488,1
Ituana,ituana,117037,739875,1
Jawny,jawny,1017887,15452863,1
Jennie,jennie,1408757,100169465,1
JISOO,jisoo,600125,43262308,1
JP Saxe,jp saxe,684066,9580877,1
JVKE,jvke,1530582,43768064,1
Jack Harlow,jack harlow,1797691,75583246,1
James Arthur,james arthur,1746828,46477199,1
Jason Derülo,jason derülo,764031,6085170,1
Javi Medina,javi medina,10527,88164,1
Jax Jones,jax jones,966038,15375532,1
JDM,jdm,3553,12276,1
Jesse & Joy,jesse & joy,399205,9520440,1
Jimin,jimin,836232,766635609,1
Jin,jin,769438,739645223,1
Joan Y Su Elite,joan y su elite,18872,214356,1
Joel Corry,joel corry,848838,11766245,1
John K.,john k.,1028,23243,1
John Mayer,john mayer,3710444,200065395,1
Jonas Brothers,jonas brothers,2125185,73695302,1
Juanes,juanes,1179293,21140873,1
juanlu montoya,juanlu montoya,4309,30328,1
Jung Kook,jung kook,1393808,771147594,1
Junior H,junior h,368294,47699461,1
K/DA,k/da,800960,29345284,1
Kany García,kany garcía,116695,1727385,1
Katy Perry,katy perry,6974662,423323682,1
Kendrick Lamar,kendrick lamar,4949850,989439307,1
Kike & Manu,kike & manu,1835,9704,1
King Gnu,king gnu,474090,16809788,1
Kygo,kygo,1929759,57465736,1
Kylie Minogue,kylie minogue,3472048,171817226,1
Käärijä,käärijä,297880,12371137,1
LAX,lax,7384,67341,1
LE SSERAFIM,le sserafim,1564693,283599308,1
Leisure,leisure,504041,7150224,1
Lisa,lisa,1876594,122217463,1
LOVELI LORI,loveli lori,316925,4842185,1
La Cebolla,la cebolla,4324,28717,1
La Llave,la llave,1260,6283,1
Lady Gaga,lady gaga,7548754,991482146,1
Lalo Ebratt,lalo ebratt,77089,667472,1
Lana Del Rey,lana del rey,5109254,1508836375,1
Lasso,lasso,138697,2892072,1
Laufey,laufey,2196409,233570265,1
Lauv,lauv,1702832,75625328,1
League of Legends,league of legends,1196137,53728831,1
Lewis Capaldi,lewis capaldi,1488280,50563794,1
Lin Cortés,lin cortés,6455,45327,1
Lizzo,lizzo,1711822,55208231,1
