name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
You're Still the One,Shannon & Keast,shannon keast,90S 00S and 10S Covers,track,2019,203713,0,3
Wish - Chill Mix,Roberto Sol,roberto sol,"Arabian Shisha Lounge, Vol. 6",track,2019,246805,0,3
Yogi Chill,Sami Sivananda,sami sivananda,Dreamline 8,track,2019,222550,0,3
Fledgling,Noah Jacob,noah jacob,From My Heart Through My Hands,track,2019,311350,0,3
Pharvari,Yantra Mantra,yantra mantra,Touch My Soul,track,2019,317291,0,3
Running to the Void,Eskadet,eskadet,Urban Buddha,track,2019,452466,0,3
HellBent,Zedman,zedman,HellBent,track,2019,207725,0,3
Expression,Zedman,zedman,Zavior,track,2019,158850,0,3
Morning Sun,Marga Sol,marga sol,Midnight Arouse: Sexy Chill Out Music for a Seductive Night,track,2019,263416,0,3
Madara,Kyroshie,kyroshie,Best Trap,track,2019,173910,0,3
"No Talking, Just Walking",Ulli Boegershausen,ulli boegershausen,"No Talking, Just Walking",track,2019,190194,0,3
Into the Ether - Original Mix,Lazy Hammock,lazy hammock,"Chill out Magnifique, Vol. 2",track,2019,399626,0,3
You Belong to Me,Shannon & Keast,shannon keast,Jazz Music Playlist for Studying,track,2019,177309,0,3
Wy Words - Original Mix,2illusions,2illusions,"Sample of Pleasure, Vol.5",track,2019,230770,0,3
Lanibia Dreams - 7 Stars Mix,Artenovum,artenovum,"Sun & Chill, Vol. 4 (Relaxing Moments with Smooth Lounge & Ambient Tunes)",track,2019,279157,0,3
I'll Always Love You - Instrumental Mix,Florzinho,florzinho,"Coffee Bar Chill Sounds, Vol. 12",track,2019,274281,0,3
All I Long For - Original Mix,Gary B,gary b,Travel & Living Lounge Vol.4 (Traveling Chillout Mood),track,2019,240000,0,3
The Scientist,Shannon & Keast,shannon keast,Acoustic Rock 2019,track,2019,210456,0,3
The Journey Begins - Extended Mix,Sunyata Project,sunyata project,"Supreme Relax, Vol. 5",track,2019,236686,0,3
One World One Future,Roberto Sol,roberto sol,"Sound of Serenity, Vol. 8",track,2019,317647,0,3
Don't Go Home Yet,Five Seasons,five seasons,"Nights Of Glitter (The Ultimate Lounge Collection), Vol. 2",track,2019,275640,0,3
Lotus,Sunyata Project,sunyata project,Pure Wellness 8,track,2019,226100,0,3
Resident Evil - Rock da Floor Mix,Loungeside,loungeside,Distant Echo 2,track,2019,232330,0,3
Changes,Marga Sol,marga sol,"Feel the Heat, Vol. 2 (Fantastic Selection Of EDM & Progressive House Bangers To Bounce Around)",track,2019,379487,0,3
FlintStone,Zedman,zedman,Zavior,track,2019,178677,0,3
My Mind,Sarah rosen,sarah rosen,I Only Need Myself,track,2019,104728,0,3
Dwa Serduszka,Ulli Boegershausen,ulli boegershausen,Dwa Serduszka,track,2019,149045,0,3
Feel So Good,Florito,florito,"Chill Out Whisper, Vol. 2",track,2019,371333,0,3
System Failure,Zedman,zedman,Naibu,track,2019,194115,0,3
Samadhi Vibes,Sami Sivananda,sami sivananda,"Dreamy Sunset Lounge, Vol. 3",track,2019,195739,0,3
Nothing Without You,Weathertunes,weathertunes,"A Day At The Terrace (A Chillin' Lounge Selection), Vol. 4",track,2019,240533,0,3
Habitatmodul,Jens Buchert,jens buchert,"Lakeside Chill Sounds, Vol. 12",track,2019,278490,0,3
La Vie en rose,Shannon & Keast,shannon keast,Jazz Songs for a Dinner Party,track,2019,154509,0,3
Anis Nous Explique,Weathertunes,weathertunes,"Isla Bonita, Vol. 4",track,2019,331885,0,3
A Humble Student,Host Bodies,host bodies,Diamondfruit,track,2019,410770,0,3
Misty,Shannon & Keast,shannon keast,Jazz Classics Covered,track,2019,166774,0,3
Rocker,Zedman,zedman,Brain Storm,track,2019,130115,0,3
Bahia,Faro,faro,RLX #28 - The Chill out Collection,track,2019,366200,0,3
Storm // Psalms,Chimezie,chimezie,Peace & Blessings,track,2019,131450,0,3
Better Know,Zedman,zedman,Zavior,track,2019,179121,0,3
Fields of Gold,Shannon & Keast,shannon keast,Acoustic Chilled Playlist: Beautifully Relaxing Acoustic Arrangements,track,2019,268000,0,3
Champagne & Dancing,Lazy Hammock,lazy hammock,"Clubbers Culture: Downbeat & Chill Out Zone, Vol.2",track,2019,355852,0,3
Cocktail,Five Seasons,five seasons,"Chill Out Whisper, Vol. 2",track,2019,255148,0,3
Away,Zedman,zedman,Zavior,track,2019,127190,0,3
Lying To Me - Radio Edit,Ingo Herrmann,ingo herrmann,"Deep-House Paradise, Vol. 4",track,2019,232122,0,3
Walk Around - Beach House Mix,Schwarz & Funk,schwarz funk,Sunset Chill Out,track,2019,362295,0,3
It's Hard - Mystic Instrumental Mix,Artenovum,artenovum,"The Forest Chill Lounge, Vol. 15 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,247546,0,3
Night Shade - Electronic Chillhouse Mix,Jean Mare,jean mare,"Chill on the Beach, Vol. 6 (20 Finest Balearic Chillhouse & Ibiza Chillout Lounge Tunes)",track,2019,278000,0,3
That Day - Olson Remix,Massivan,massivan,"Dünen Lounge Musik, Juist 2019",track,2019,189277,0,3
Endless Time - Chillout Mix,Marie Therese,marie therese,Sunset Emotions Vol.1 (Compiled by Marco Celloni),track,2019,268457,0,3
