name_track,name_artist,name_album,type,year,duration_ms,genre,popularity
So Tell Me - Odyssee Mix,Artenovum,"Balearic Café, Vol. 4 (Ibiza Chill out & Lounge Tracks to Relax)",track,2020,394200,chill,0
Rising Like the Sun - Edit,Steen Thottrup,"Sound Source (Musica Electronica), Vol. 4",track,2020,206762,chill,0
A Picture of You - Remastered,Steen Thottrup,"Drinks at Sunset, Vol. 3",track,2020,326736,chill,0
Vanilla Sky - Original Mix,Marga Sol,"Chill out Box, Vol. 4",track,2020,411457,chill,0
Habitatmodul - Original Mix,Jens Buchert,"Lovely Mood Lounge, Vol. 27",track,2020,278490,chill,0
Golden Sunrise - Original Mix,Marga Sol,Machu Picchu Orange: World Chillout Music,track,2020,293333,chill,0
Abracadabra - Bes & Meret Remix,Roberto Sol,"In House We Trust, Vol. 2",track,2020,296522,chill,0
Because I Miss You - Houie D. Remix,Marie Therese,Distant Mountains Lounge: Chillout Your Mind,track,2020,290190,chill,0
The Breath of Ganges - Original Mix,Mirage Of Deep,"Design & Lifestyle Lounge, Vol. 2",track,2020,441493,chill,0
Serendipity - Loocalooma & Seven24 Remix,Gary B,"Comfortable Home Lounge, Vol.1",track,2020,333823,chill,0
Loco-El Virgen de la Macarena - Dub Cumbia,Loving Paris,Loco - El Virgen de la Macarena (Latest Remixes),track,2020,373203,chill,0
Beautiful - Original Mix,Triangle Sun,Joyful Lounge (Chillout Your Mind),track,2020,283000,chill,0
Transcendence - Original Mix,Jens Buchert,"Spiritual Spa, Vol. 6",track,2020,304586,chill,0
A La Luna,Florzinho,Black Coffee Lounge: Chillout Your Mind,track,2020,474666,chill,0
Penelope,4 Wings,Moka Beach Essential,track,2020,372493,chill,0
Ocean Breeze - Original Mix,Clelia Felix,Beautiful Morning Lounge (Chillout Your Mind),track,2020,178000,chill,0
Forgotten Places,Velvet Dreamer,"Waving Clouds (Beautiful Tunes), Vol. 4",track,2020,336879,chill,0
Back Again,Zedman,Back Again,track,2020,164640,chill,0
Es Cavalett,Eivissarts,Deep Voyage Lounge: Chillout Your Mind,track,2020,345165,chill,0
From a Friend - Original Mix,Five Seasons,"Sensual Spa Lounge, Vol. 14",track,2020,250000,chill,0
Vinile - Urejena Različica,Gold Lounge,"The Sound Chill Experience, Vol. 1 (Use Headphones 8D Audio)",track,2020,148390,chill,0
Ibiza Winter Café,DJ Lounge Del Mar,Xmas Beach Chill (Smooth Lounge Tunes For Christmas Winter Time),track,2020,273880,chill,0
La jolie - Original Mix,Weathertunes,"Lakeside Chill Sounds, Vol. 20",track,2020,294221,chill,0
Ocean of Secrets - Remastered,Schwarz & Funk,"Urban City Vibes 6: Urban Funk, Soul & Chillout Music",track,2020,361947,chill,0
Hallou - Original Mix,Jens Buchert,"Mykonos Sunset Session, Vol. 6",track,2020,247461,chill,0
Missing U (A Tribute to the Sun) - Original Mix,Steen Thottrup,Ibiza Winter Session 2021 (The Island Chill out Pearls),track,2020,309865,chill,0
Be Mine,Marga Sol,Electro Lounge Dinner Party,track,2020,304000,chill,0
Dusk,Pier-O,"Tech Freak, Vol. 4 (Hit Me With That Bass Line)",track,2020,370714,chill,0
Pai Mu Tan,Sunyata Project,"Supreme Relax, Vol. 6",track,2020,306189,chill,0
The Water Is Wide,Shannon & Keast,Happy Acoustic Folk,track,2020,252147,chill,0
Elements - Size Mix,Loungeside,Elements (Size Mix),track,2020,354000,chill,0
Tao Tunes,Sami Sivananda,"Royally Relaxing, Vol. 7",track,2020,371909,chill,0
What I Long For,Marga Sol,"Deep Blue Sea Vol.4, Deep Chill Mood",track,2020,324210,chill,0
Bliss of Water,Marga Sol,"Let It Snow, Vol. 1 (Enjoy The First Snowflakes With This Wonderful Selection Of Smooth Electronic Music)",track,2020,360000,chill,0
Dreamgirl - Original Mix,Jens Buchert,"Fireplace Chill, Vol. 5",track,2020,240600,chill,0
Norito Bar - Chandini Mix,Yantra Mantra,Stay Chilled 2,track,2020,282666,chill,0
Like the First Moment - Original Mix,Florzinho,"Sensual Mood Lounge, Vol. 18",track,2020,332608,chill,0
Down in Jaipur - Original Mix,Mathieu & Florzinho,"Lovely Mood Lounge, Vol. 30",track,2020,317373,chill,0
Anis Nous Explique - Original Mix,Weathertunes,"Lovely Mood Lounge, Vol. 27",track,2020,331840,chill,0
People Love - Original Mix,Weathertunes,"Sensual Mood Lounge, Vol. 22",track,2020,287416,chill,0
Shinrinyoku,James Bright,Betamax,track,2020,377685,chill,0
What We Had - Sunset Mix,Marga Sol,"Purple Lounge, Vol. 1",track,2020,299405,chill,0
Dream On,Peter Pearson,Chillout Dreams,track,2020,271601,chill,0
holy.night,no.notnow,christmas with friends,track,2020,136000,chill,0
Gotta Go,Zedman,Imperfect,track,2020,206210,chill,0
Aquanaut - Original Mix,Jens Buchert,"Sunset Meditation - Relaxing Chill out Music, Vol. 14",track,2020,279369,chill,0
Champs De Lavande - Original Mix,Weathertunes,"Design & Lifestyle Lounge, Vol. 1",track,2020,226470,chill,0
Cosmos,James Bright,The Zooniverse,track,2020,344560,chill,0
38 Degrees - Original Mix,Jens Buchert,"Lovely Mood Lounge, Vol. 30",track,2020,240579,chill,0
Surfing,Zedman,Imperfect,track,2020,240039,chill,0
Wade in the Water,Shannon & Keast,Happy Acoustic Folk,track,2020,190877,chill,0
Inner Peace - Original Mix,Sami Sivananda,Breathe & Relax Lounge: Chillout Your Mind,track,2020,264000,chill,0
You Are,Steen Thottrup,"Chill Out Whisper, Vol. 3",track,2020,175848,chill,0
Here - Original Mix,Placid Larry,"Neverending Days, Vol. 13",track,2020,226017,chill,0
Peace Bitch,Zedman,An Emotional Turmoil in the City,track,2020,13090,chill,0
About You,vict molina,???,track,2020,215688,chill,0
Sex Is the Place - Original Mix,Weathertunes,"Neverending Days, Vol. 13",track,2020,249600,chill,0
River People,Gary B,Southbeat Pres: Coffee Morning Chill Selection,track,2020,242668,chill,0
Moments Like This,Florito,"Like A Summer Day, Vol. 1",track,2020,336782,chill,0
The Walz,Argun North,The Walz,track,2020,174000,chill,0
Parazit,Niz,Parazit,track,2020,138912,chill,0
Jazzloop C,Pigeondust,Way Back When,track,2020,28592,chill,0
Fritz the Cat - Original Mix,Lemongrass,"Coffee Bar Lounge, Vol. 19",track,2020,254893,chill,0
A Slow Blues in a Noisy World,Ulli Boegershausen,A Slow Blues in a Noisy World,track,2020,178065,chill,0
I Don't Love You No More - Elad Navon & Niv Aroya Club Mix,Carlos Campos,6 Years of Queen House Music,track,2020,382734,chill,0
Ace of,Zedman,Imperfect,track,2020,194899,chill,0
Meet Dawn,Fred Hyas,Strata Vol. 040,track,2020,293600,chill,0
Moments Like This - Original Mix,Florito,"Night Glow Deep (Deep-House Collection), Vol. 3",track,2020,336782,chill,0
Falling,Marga Sol,"Hidden Bar Grooves, Vol. 3 (Beautiful Loungy Tracks For A Long Drinking Night)",track,2020,389647,chill,0
Bitter Symphonie - Original Mix,Johannes Huppertz,Winter Spirits: Chillout Your Mind,track,2020,275409,chill,0
Devil's Lot,Kyroshie,Devil's Lot,track,2020,189600,chill,0
try again,austin fox 狐,ESCAPE FROM TELEVANIA,track,2020,114056,chill,0
The Ocean,Marga Sol,Ambient Chill Out Music Playlist,track,2020,312333,chill,0
Pai Mu Tan - Spa Mix,Florito,"Beautiful Hearts (Electronic Chill out Beats), Vol. 3",track,2020,306189,chill,0
World Is Burning,Zedman,Imperfect,track,2020,220473,chill,0
Around Me - Deep Chill RMX,Marga Sol,Sunset Surfing Lounge: Chillout Your Mind,track,2020,264388,chill,0
